poll|position|artist|track
1999|16|Korn|Freak On A Leash
1999|17|Korn|Falling Away From Me
1999|18|Sonic Animation|Theophilus Thistler (An Exercise In Vowels)
1999|19|Jebediah|Animal
1999|20|Rhubarb|Exerciser
All-time '98|1|Nirvana|Smells Like Teen Spirit
All-time '98|2|Hunters & Collectors|Throw Your Arms Around Me
All-time '98|3|Pearl Jam|Alive
All-time '98|4|Jeff Buckley|Last Goodbye
All-time '98|5|Radiohead|Creep
All-time '98|6|Led Zeppelin|Stairway To Heaven
All-time '98|7|Metallica|One
All-time '98|8|Queen|Bohemian Rhapsody
All-time '98|9|Metallica|Enter Sandman
All-time '98|10|Pearl Jam|Black
All-time '98|11|U2|One
All-time '98|12|Marilyn Manson|The Beautiful People
All-time '98|13|Radiohead|Paranoid Android
All-time '98|14|Nine Inch Nails|Closer
All-time '98|15|Violent Femmes|Blister In The Sun
All-time '98|16|Joy Division|Love Will Tear Us Apart
All-time '98|17|Rage Against The Machine|Killing In The Name
All-time '98|18|The Living End|Prisoner Of Society
All-time '98|19|Faith No More|Epic
All-time '98|20|Blink-182|Dammit (Growing Up)
1998|1|The Offspring|Pretty Fly (For a White Guy)
1998|2|Ben Lee|Cigarettes Will Kill You
1998|3|Custard|Girls Like That (Don't Go For Guys Like Us)
1998|4|Hole|Celebrity Skin
1998|5|Korn|Got the Life
1998|6|Regurgitator|! (Song Formerly Known As)
1998|7|Jebediah|Harpoon
1998|8|Powderfinger|The Day You Come
1998|9|You Am I|Heavy Heart
1998|10|The Living End|Save The Day
1998|11|U2|The Sweetest Thing
1998|12|Ben Folds Five|Brick
1998|13|They Might Be Giants|Dr. Worm
1998|14|Blink-182|Josie (Everything's Gonna Be Fine)
1998|15|The Living End|Second Solution
1998|16|Josh Abrahams & Amiel Daemion|Addicted to Bass
1998|17|The Living End|Tainted Love {Live}
1998|18|Grinspoon|Just Ace
1998|19|Wyclef Jean|Bubblegoose
1998|20|Chef|Simultaneous
1997|1|The Whitlams|No Aphrodisiac
1997|2|Blur|Song 2
1997|3|Chumbawamba|Tubthumping
1997|4|The Verve|Bitter Sweet Symphony
1997|5|Pauline Pantsdown|Backdoor Man
1997|6|Blink-182|Dammit (Growing Up)
1997|7|Radiohead|Paranoid Android
1997|8|Marilyn Manson|The Beautiful People
1997|9|Radiohead|Karma Police
1997|10|Jebediah|Leaving Home
1997|11|Smash Mouth|Walkin' on the Sun
1997|12|Ben Folds Five|One Angry Dwarf And 200 Solemn Faces
1997|13|Silverchair|Freak
1997|14|The Superjesus|Down Again
1997|15|The Living End|Prisoner Of Society
1997|16|Quindon Tarver/Lee Perry|Everybody's Free (To Wear Sunscreen)
1997|17|Cordrazine|Crazy
1997|18|Nick Cave & The Bad Seeds|Into My Arms
1997|19|Regurgitator|Every Day Formula
1997|20|Cake|I Will Survive
1996|1|Spiderbait|Buy Me a Pony
1996|2|Tool|Stinkfist
1996|3|Ben Folds Five|Underground
1996|4|Butthole Surfers|Pepper
1996|5|Bush|Glycerine
1996|6|Powderfinger|Pick You Up
1996|7|The Prodigy|Breathe
1996|8|Allen Ginsberg|Ballad of the Skeletons
1996|9|Weezer|El Scorcho
1996|10|Baby Bird|You're Gorgeous
1996|11|311|Down
1996|12|Underworld|Born Slippy
1996|13|The Smashing Pumpkins|1979
1996|14|Fun Lovin' Criminals|Scooby Snacks
1996|15|Regurgitator|Kong Foo Sing
1996|16|Babylon Zoo|Spaceman
1996|17|The Prodigy|Firestarter
1996|18|Powderfinger|D.A.F.
1996|19|Bush|Swallowed
1996|20|The Fauves|Dogs Are the Best People
1995|1|Oasis|Wonderwall
1995|2|Smashing Pumpkins|Bullet with Butterfly Wings
1995|3|Coolio|Gangsta's Paradise
1995|4|Presidents of the U.S.A.|Kitty
1995|5|Bjork|It's Oh So Quiet
1995|6|Everclear|Heroin Girl
1995|7|Custard|Apartment
1995|8|Nick Cave & The Bad Seeds and Kylie Minogue|Where the Wild Roses Grow
1995|9|TISM|(He'll Never Be An) Ol' Man River
1995|10|TISM|Greg! The Stop Sign!!
1995|11|Presidents of the U.S.A.|Lump
1995|12|Mindless Drug Hoover|The Reefer Song
1995|13|Oasis|Morning Glory
1995|14|Jeff Buckley|Last Goodbye
1995|15|Garbage|Vow
1995|16|Dave Graney 'n' The Coral Snakes|Rock 'n' Roll is where I hide
1995|17|Regurgitator|Blubber Boy
1995|18|Jill Sobule|I Kissed a Girl
1995|19|Tripping Daisy|I Got a Girl
1995|20|Red Hot Chili Peppers|My Friends
1994|1|The Cranberries|Zombie
1994|2|Nine Inch Nails|Closer
1994|3|The Offspring|Self Esteem
1994|4|The Offspring|Come Out & Play
1994|5|Silverchair|Tomorrow
1994|6|Veruca Salt|Seether
1994|7|Nirvana|About a Girl
1994|8|Max Sharam|Coma
1994|9|Tom Jones|If I Only Knew
1994|10|Severed Heads|Dead Eyes Opened {1994 Remix}
1994|11|Nick Cave & The Bad Seeds|Do You Love Me?
1994|12|James|Laid
1994|13|Bomb The Bass|Bug Powder Dust
1994|14|The Cruel Sea|Better Get A Lawyer
1994|15|Sheryl Crow|All I Wanna Do
